="                 EXPORT INTENSITY DYNAMICS - COLOMBIA (82 to 87)"
="",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs"
="exporter",="0.209",="0.207",="0.161",="0.117",="0.115",="0.126",="0.134",="0.133",="0.127"
="",="27.65",="26.10",="26.22",="19.32",="19.29",="19.14",="16.43",="16.35",="14.65"
="L.lnemp",="",="-0.008",="-0.010",="-0.002",="",="",="-0.002",="",=""
="",="",="-6.86",="-8.41",="-5.76",="",="",="-5.19",="",=""
="L.exporter",="",="",="0.061",="-0.076",="-0.078",="-0.085",="-0.089",="-0.091",="-0.086"
="",="",="",="12.23",="-16.52",="-16.74",="-16.87",="-13.69",="-13.96",="-12.30"
="L.exs",="",="",="",="0.831",="0.833",="0.809",="0.808",="0.810",="0.807"
="",="",="",="",="67.88",="68.77",="56.45",="55.76",="56.19",="47.94"
="stopper",="",="",="",="",="",="-0.041",="-0.048",="-0.047",="-0.049"
="",="",="",="",="",="",="-6.51",="-7.27",="-7.14",="-6.67"
="starter",="",="",="",="",="",="",="-0.009",="-0.009",="-0.024"
="",="",="",="",="",="",="",="-0.76",="-0.78",="-2.00"
="starterstopper",="",="",="",="",="",="",="0.018",="0.017",="0.032"
="",="",="",="",="",="",="",="1.06",="1.02",="1.78"
="stopperstarter",="",="",="",="",="",="",="0.035",="0.034",="0.029"
="",="",="",="",="",="",="",="3.06",="3.02",="2.36"
="last2",="",="",="",="",="",="",="",="",="-0.008"
="",="",="",="",="",="",="",="",="",="-3.11"
="N",="61182",="47559",="47559",="47533",="47549",="40675",="40667",="40675",="30693"
="r2_a",=".37",=".36",=".37",=".79",=".79",=".78",=".78",=".78",=".78"
="                    EXPORT INTENSITY DYNAMICS - COLOMBIA (82 to 87) WEIGHTED"
="",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs"
="exporter",="0.192",="0.207",="0.138",="0.079",="0.076",="0.088",="0.068",="0.063",="0.065",="0.191",="0.073"
="",="9.25",="9.16",="10.11",="6.52",="6.39",="6.63",="7.35",="7.10",="6.96",="7.76",="6.20"
="L.lnemp",="",="-0.026",="-0.028",="-0.007",="",="",="-0.008",="",="",="",=""
="",="",="-5.98",="-6.31",="-4.55",="",="",="-4.93",="",="",="",=""
="L.exporter",="",="",="0.086",="-0.043",="-0.047",="-0.058",="-0.029",="-0.033",="-0.035",="",="-0.054"
="",="",="",="5.53",="-4.40",="-4.73",="-5.24",="-3.40",="-3.95",="-3.97",="",="-4.92"
="L.exs",="",="",="",="0.874",="0.882",="0.861",="0.857",="0.864",="0.858",="",="0.942"
="",="",="",="",="27.18",="28.56",="21.00",="20.65",="21.15",="19.47",="",="56.14"
="stopper",="",="",="",="",="",="-0.019",="-0.042",="-0.041",="-0.036",="",=""
="",="",="",="",="",="",="-1.49",="-4.47",="-4.22",="-4.14",="",=""
="starter",="",="",="",="",="",="",="0.044",="0.046",="0.045",="",=""
="",="",="",="",="",="",="",="1.81",="1.84",="1.63",="",=""
="starterstopper",="",="",="",="",="",="",="0.034",="0.033",="0.031",="",=""
="",="",="",="",="",="",="",="0.96",="0.90",="0.72",="",=""
="stopperstarter",="",="",="",="",="",="",="0.021",="0.019",="0.020",="",=""
="",="",="",="",="",="",="",="1.62",="1.50",="1.50",="",=""
="last2",="",="",="",="",="",="",="",="",="-0.026",="",=""
="",="",="",="",="",="",="",="",="",="-2.82",="",=""
="N",="61182",="47559",="47559",="47533",="47549",="40675",="40667",="40675",="30693",="61182",="47549"
="r2_a",=".47",=".49",=".5",=".87",=".87",=".85",=".85",=".85",=".85",=".21",=".87"
="            Entrant/Exitter Log Premia - COLOMBIA (82 to 87)"
