="                        EXPORT INTENSITY DYNAMICS - Chile (1998 to 2006)"
="",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs"
="exporter",="0.228",="0.227",="0.164",="0.093",="0.097",="0.115",="0.107",="0.106",="0.104"
="",="22.84",="21.18",="21.32",="14.13",="14.45",="15.51",="12.39",="12.40",="12.40"
="L.lnemp",="",="0.002",="-0.001",="-0.000",="",="",="-0.001",="",=""
="",="",="0.60",="-0.47",="-0.61",="",="",="-1.60",="",=""
="L.exporter",="",="",="0.082",="-0.057",="-0.060",="-0.067",="-0.059",="-0.060",="-0.059"
="",="",="",="13.28",="-10.86",="-11.16",="-12.35",="-9.14",="-9.18",="-9.22"
="L.exs",="",="",="",="0.863",="0.861",="0.851",="0.854",="0.853",="0.853"
="",="",="",="",="75.57",="75.72",="68.97",="66.82",="66.93",="66.51"
="stopper",="",="",="",="",="",="-0.061",="-0.051",="-0.051",="-0.051"
="",="",="",="",="",="",="-9.28",="-6.36",="-6.36",="-6.25"
="starter",="",="",="",="",="",="",="0.006",="0.018",="0.021"
="",="",="",="",="",="",="",="0.47",="1.36",="1.57"
="starterstopper",="",="",="",="",="",="",="-0.021",="-0.034",="-0.033"
="",="",="",="",="",="",="",="-1.50",="-2.29",="-2.26"
="stopperstarter",="",="",="",="",="",="",="-0.021",="-0.022",="-0.024"
="",="",="",="",="",="",="",="-1.42",="-1.54",="-1.67"
="last2",="",="",="",="",="",="",="",="",="-0.012"
="",="",="",="",="",="",="",="",="",="-4.02"
="N",="21698",="19244",="19244",="19244",="19276",="18688",="18656",="18688",="18533"
="r2_a",=".51",=".52",=".52",=".88",=".87",=".87",=".88",=".87",=".88"
="                   EXPORT INTENSITY DYNAMICS - Chile (1998 to 2006) WEIGHTED"
="",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs"
="exporter",="0.295",="0.307",="0.228",="0.191",="0.128",="0.131",="0.150",="0.129",="0.046",="0.127",="0.295",="0.130"
="",="7.56",="7.24",="10.71",="7.98",="6.64",="6.85",="7.45",="4.95",="4.13",="4.86",="7.56",="6.63"
="starter",="",="0.182",="",="",="",="",="",="0.034",="0.100",="0.058",="",=""
="",="",="5.78",="",="",="",="",="",="1.11",="4.31",="1.84",="",=""
="L.lnemp",="",="",="-0.016",="-0.017",="-0.004",="",="",="-0.004",="",="",="",=""
="",="",="",="-1.32",="-1.42",="-1.67",="",="",="-1.63",="",="",="",=""
="L.exporter",="",="",="",="0.053",="-0.086",="-0.093",="-0.096",="-0.074",="",="-0.079",="",="-0.099"
="",="",="",="",="3.26",="-5.68",="-5.92",="-6.03",="-3.39",="",="-3.49",="",="-5.62"
="L.exs",="",="",="",="",="0.818",="0.816",="0.791",="0.795",="0.883",="0.793",="",="0.890"
="",="",="",="",="",="27.05",="26.97",="25.23",="25.05",="35.15",="24.67",="",="38.07"
="stopper",="",="",="",="",="",="",="-0.074",="-0.050",="",="-0.049",="",=""
="",="",="",="",="",="",="",="-5.22",="-2.71",="",="-2.66",="",=""
="starterstopper",="",="",="",="",="",="",="",="-0.087",="",="-0.113",="",=""
="",="",="",="",="",="",="",="",="-2.72",="",="-3.50",="",=""
="stopperstarter",="",="",="",="",="",="",="",="-0.055",="",="-0.058",="",=""
="",="",="",="",="",="",="",="",="-1.04",="",="-1.09",="",=""
="last2",="",="",="",="",="",="",="",="",="",="-0.035",="",=""
="",="",="",="",="",="",="",="",="",="",="-2.71",="",=""
="N",="21698",="21679",="19244",="19244",="19244",="19276",="18688",="18656",="19276",="18533",="21698",="19276"
="r2_a",=".21",=".21",=".55",=".55",=".85",=".85",=".84",=".85",=".83",=".84",=".21",=".83"
="           Entrant/Exitter Log Premia - Chile (1998 to 2006)"
="",="lnemp",="lnemp",="lnemp",="lnemp",="lnsales",="lnsales",="lnsales",="lnsales",="lnsales",="lnsales",="lnsales",="lnsales",="lnsales"
="exporter",="1.38",="0.00",="0.81",="0.00",="2.05",="0.00",="2.03",="0.00",="1.07",="1.55",="0.00",="0.00",="0.00"
="",="27.07",=".",="5.70",=".",="29.19",=".",="28.79",=".",="7.15",="3.65",=".",=".",="."
="marginal",="-0.50",="-0.51",="-0.42",="-0.36",="-0.68",="-0.65",="",="",="-0.24",="-0.71",="-0.16",="",=""
="",="-9.21",="-9.56",="-3.41",="-3.01",="-9.05",="-9.20",="",="",="-2.09",="-1.79",="-1.43",="",=""
="starter",="",="",="",="",="",="",="-0.46",="-0.51",="",="",="",="-0.09",="-0.73"
="",="",="",="",="",="",="",="-7.11",="-7.08",="",="",="",="-0.76",="-1.81"
="stopper",="",="",="",="",="",="",="-0.62",="-0.71",="",="",="",="0.02",=""
="",="",="",="",="",="",="",="-9.07",="-10.11",="",="",="",="0.22",=""
="N",="21663",="5117",="21663",="5117",="21698",="5121",="21091",="4514",="21698",="21698",="5121",="4514",="5102"
="r2_a",=".36",=".21",=".36",=".32",=".45",=".29",=".44",=".054",=".61",=".16",=".66",=".69",=".042"
="                        Linear Probability AND ENTRY "
="",="Exporter",="Exporter",="Exporter",="Exporter",="Exporter",="Exporter",="Exporter",="ExporterW",="ExporterW",="expa02aw",="expa02awNoIND"
="L.exporter",="0.805",="0.754",="0.569",="0.794",="0.751",="0.811",="0.769",="0.832",="0.832",="0.735",="0.802"
="",="95.38",="73.75",="38.21",="80.52",="64.57",="93.46",="74.62",="31.56",="31.56",="22.36",="23.91"
="L2.exporter",="",="",="0.244",="",="",="",="",="",="",="",=""
="",="",="",="16.45",="",="",="",="",="",="",="",=""
="L.lnemp",="",="0.041",="0.031",="0.037",="0.037",="0.032",="0.032",="0.023",="0.023",="0.028",="0.025"
="",="",="16.08",="13.36",="14.52",="14.57",="14.14",="14.22",="2.45",="2.45",="2.28",="2.56"
="L.starter",="",="",="",="-0.252",="-0.223",="-0.245",="-0.218",="-0.173",="-0.173",="-0.162",="-0.162"
