="                        EXPORT INTENSITY DYNAMICS - Compustat (1984 to 1992)"
="",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs"
="exporter",="0.132",="0.133",="0.111",="0.102",="0.102",="0.103",="0.113",="0.112",="0.112"
="",="29.34",="28.97",="26.14",="19.56",="19.88",="20.44",="11.26",="11.28",="11.26"
="L.lnemp",="",="-0.006",="-0.006",="-0.001",="",="",="-0.001",="",=""
="",="",="-5.12",="-5.17",="-4.22",="",="",="-4.38",="",=""
="L.exporter",="",="",="0.025",="-0.077",="-0.077",="-0.078",="-0.088",="-0.087",="-0.088"
="",="",="",="5.86",="-15.82",="-16.00",="-16.00",="-9.35",="-9.37",="-9.24"
="L.exs",="",="",="",="0.844",="0.846",="0.848",="0.845",="0.847",="0.849"
="",="",="",="",="47.51",="47.66",="48.39",="48.04",="48.14",="50.04"
="stopper",="",="",="",="",="",="-0.021",="-0.020",="-0.020",="-0.020"
="",="",="",="",="",="",="-3.76",="-3.18",="-3.30",="-3.35"
="starter",="",="",="",="",="",="",="-0.016",="-0.014",="-0.016"
="",="",="",="",="",="",="",="-1.41",="-1.28",="-1.44"
="starterstopper",="",="",="",="",="",="",="-0.006",="-0.006",="-0.004"
="",="",="",="",="",="",="",="-0.44",="-0.43",="-0.28"
="stopperstarter",="",="",="",="",="",="",="0.006",="0.005",="0.005"
="",="",="",="",="",="",="",="0.30",="0.26",="0.26"
="last2",="",="",="",="",="",="",="",="",="-0.000"
="",="",="",="",="",="",="",="",="",="-0.16"
="N",="13667",="11811",="11789",="11789",="12112",="12083",="11761",="12083",="11952"
="r2_a",=".44",=".45",=".46",=".83",=".83",=".84",=".84",=".84",=".84"
="                   EXPORT INTENSITY DYNAMICS - Compustat (1984 to 1992) WEIGHTED"
="",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs"
="exporter",="0.110",="0.112",="0.074",="0.062",="0.056",="0.056",="0.056",="0.054",="0.003",="0.054",="0.110",="0.057"
="",="6.28",="6.17",="18.68",="12.13",="9.68",="10.08",="10.30",="6.11",="1.87",="6.15",="6.28",="10.13"
="starter",="",="0.058",="",="",="",="",="",="0.004",="0.054",="0.004",="",=""
="",="",="9.82",="",="",="",="",="",="0.33",="8.64",="0.36",="",=""
="L.lnemp",="",="",="-0.000",="-0.000",="0.000",="",="",="0.000",="",="",="",=""
="",="",="",="-0.00",="-0.01",="0.22",="",="",="0.24",="",="",="",=""
="L.exporter",="",="",="",="0.014",="-0.051",="-0.051",="-0.052",="-0.049",="",="-0.049",="",="-0.054"
="",="",="",="",="3.30",="-9.05",="-9.42",="-9.58",="-5.73",="",="-5.76",="",="-9.76"
="L.exs",="",="",="",="",="0.966",="0.967",="0.966",="0.966",="1.003",="0.966",="",="1.008"
="",="",="",="",="",="40.55",="41.02",="40.75",="40.32",="43.12",="40.64",="",="49.06"
="stopper",="",="",="",="",="",="",="-0.006",="-0.005",="",="-0.005",="",=""
="",="",="",="",="",="",="",="-1.12",="-0.92",="",="-1.03",="",=""
="starterstopper",="",="",="",="",="",="",="",="-0.006",="",="-0.005",="",=""
="",="",="",="",="",="",="",="",="-0.23",="",="-0.21",="",=""
="stopperstarter",="",="",="",="",="",="",="",="-0.006",="",="-0.006",="",=""
="",="",="",="",="",="",="",="",="-0.35",="",="-0.35",="",=""
="last2",="",="",="",="",="",="",="",="",="",="0.001",="",=""
="",="",="",="",="",="",="",="",="",="",="0.93",="",=""
="N",="13667",="13635",="11811",="11789",="11789",="12112",="12083",="11761",="12112",="11952",="13667",="12112"
="r2_a",=".43",=".43",=".74",=".74",=".97",=".97",=".97",=".97",=".96",=".97",=".43",=".97"
="           Entrant/Exitter Log Premia - Compustat (1984 to 1992)"
="",="lnemp",="lnemp",="lnemp",="lnemp",="lnsales",="lnsales",="lnsales",="lnsales",="lnsales",="lnsales",="lnsales",="lnsales",="lnsales"
="exporter",="0.32",="0.00",="-0.04",="0.00",="0.46",="0.00",="0.00",="0.00",="-0.07",="-0.76",="0.00",="0.00",="0.00"
="",="3.07",=".",="-0.26",=".",="4.14",=".",=".",=".",="-0.53",="-2.01",=".",=".",="."
="marginal",="-0.36",="-0.35",="-0.34",="-0.11",="-0.40",="-0.39",="",="",="-0.32",="-0.62",="-0.05",="",=""
="",="-3.78",="-3.79",="-2.19",="-1.16",="-3.94",="-3.91",="",="",="-2.11",="-1.93",="-0.58",="",=""
="starter",="",="",="",="",="",="",="-0.49",="-0.44",="",="",="",="-0.01",="-0.68"
="",="",="",="",="",="",="",="-4.35",="-3.21",="",="",="",="-0.09",="-1.80"
="stopper",="",="",="",="",="",="",="-0.20",="-0.23",="",="",="",="-0.07",=""
="",="",="",="",="",="",="",="-1.44",="-1.38",="",="",="",="-0.52",=""
="N",="13308",="5616",="13308",="5616",="13667",="5714",="5651",="5651",="13667",="13667",="5714",="5651",="5682"
="r2_a",=".33",=".39",=".66",=".71",=".36",=".42",=".42",=".007",=".75",=".05",=".75",=".75",=".018"
="                        Linear Probability AND ENTRY "
="",="Exporter",="Exporter",="Exporter",="Exporter",="Exporter",="Exporter",="Exporter",="ExporterW",="ExporterW",="expa02aw",="expa02awNoIND"
="L.exporter",="0.909",="0.910",="0.863",="0.912",="0.906",="0.915",="0.908",="0.926",="0.970",="0.922",="0.960"
="",="175.96",="174.66",="58.30",="162.81",="132.70",="183.62",="149.90",="77.43",="145.23",="71.22",="91.96"
="L2.exporter",="",="",="0.049",="",="",="",="",="",="",="",=""
="",="",="",="3.42",="",="",="",="",="",="",="",=""
="L.lnemp",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="-0.001",="-0.003",="-0.001",="-0.003"
="",="",="0.13",="0.36",="0.21",="0.46",="0.11",="0.44",="-0.48",="-2.56",="-0.48",="-2.65"
="L.starter",="",="",="",="-0.043",="-0.041",="-0.042",="-0.040",="-0.092",="-0.086",="-0.091",="-0.082"
="",="",="",="",="-2.54",="-2.42",="-2.58",="-2.45",="-1.51",="-1.42",="-1.50",="-1.34"
="L2.starter",="",="",="",="-0.031",="-0.030",="",="",="",="",="",=""
="",="",="",="",="-1.96",="-1.88",="",="",="",="",="",=""
="L.exs",="",="",="",="",="0.043",="",="0.052",="",="",="0.048",="0.091"
="",="",="",="",="",="1.76",="",="2.38",="",="",="1.25",="2.03"
="last2",="",="",="",="",="",="0.063",="0.063",="0.026",="0.018",="0.026",="0.018"
="",="",="",="",="",="",="2.68",="2.70",="1.46",="0.92",="1.46",="0.91"
="N",="12112",="11789",="10317",="10286",="10286",="11691",="11691",="11691",="11691",="11691",="11691"
="r2_a",=".87",=".87",=".87",=".87",=".87",=".87",=".87",=".94",=".93",=".94",=".93"
